pays;iso3;pop_million_2023;%pop_moins15_2023;%Pop_60plus_2022;indice_fertilite_2023;esperance_vie_homme_2023;esperance_vie_femme_2023;Densite_2022;GDP_millionUSD_2020;part_agriculteurs_ %_2020;pop_urbaine_ %_2022;RNB_percapita_usd_2021;%scolarisation_primaire_2017;%alphabetisation_20192021;Idh_2021;age_scolarisation_attendue_2021;age_moyen_scolarisation_2021
Poland;POL;41;15;25;1,5;75;82;130,2;596,618;9,591492;60,134;36340;95,78475;99,8000030517578;0,876;16,0271492;13,1647501
Portugal;PRT;10,2;13;29,7;1,4;80;85;111,7;228,539;5,37307;67,381;36150;97,56411;96,7799987792969;0,866;16,87122917;9,575940132
Puerto Rico;PRI;3,3;13;30;1,3;76;84;374,2;103,138;1,224965;93,61;24800;;92,4000015258789;#N/D;#N/D;#N/D
Qatar;QAT;2,7;16;3,3;1,8;81;83;232,6;146,401;1,196064;99,318;100890;93,54716;;0,855;12,63722038;9,99601145
Korea (Republic of);KOR;51,8;11;25,5;0,9;81;87;523,7;1637,896;5,371204;81,427;47400;97,25516;;0,925;16,52173996;12,51293027
Moldova (Republic of);MDA;3,4;19;19,4;1,8;65;74;99,5;11,914;37,62635;43,173;15300;86,50643;99,5999984741211;0,767;14,43299961;11,82159042
Réunion;#N/D;1;22;18,8;2,2;80;86;389,6;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
Romania;ROU;19,9;16;24,5;1,7;72;79;85,4;248,716;20,5051;54,489;35550;82,22835;98,9000015258789;0,821;14,22990036;11,27511978
Russian Federation;RUS;144,4;18;22,8;1,5;70;79;8,8;1483,498;6,000813;75,126;33250;95,09612;99,6999969482422;0,822;15,76636982;12,77428805
Rwanda;RWA;14,1;38;5,2;3,7;65;69;569,1;10,332;55,48949;17,721;2420;96,9315;75,9000015258789;0,534;11,23097038;4,425292358
Saint Kitts and Nevis;KNA;0;19;16;1,5;69;76;183,3;927;;30,991;28840;;;0,777;15,42769157;8,662745
Saint Lucia;LCA;0,2;18;14,2;1,4;71;78;292;1,617;7,620108;19,05;14210;94,86626;;0,715;12,86610985;8,545040131
Saint Vincent and the Grenadines;VCT;0,1;22;16,2;1,8;68;73;266,5;810;10,59258;53,875;14960;93,58439;;0,751;14,67220567;10,83343029
Samoa;WSM;0,2;37;8,1;3,8;70;76;78,6;772;24,70634;17,616;6000;94,46785;99,0999984741211;0,707;12,41885948;11,4038
San Marino;SMR;0;12;27,8;1,1;82;85;551,8;1,555;;97,732;61060;;;0,853;12,26613998;10,80146027
Sao Tome and Principe;STP;0,2;39;5,9;3,7;66;72;236,9;476;18,35179;75,755;4520;93,0763;93,8000030517578;0,618;13,36538506;6,215599435
Saudi Arabia;SAU;36,9;26;5,3;2,4;77;80;16,9;700,118;3,17081;84,729;52310;95,18623;97,5850677490234;0,875;16,13549042;11,31052971
Senegal;SEN;17,8;41;4,9;4,3;67;72;89,9;24,412;22,59004;49,086;3770;75,3821;56,2999992370605;0,511;8,963749886;2,937938258
Serbia;SRB;7,1;15;27,1;1,5;72;78;94,1;53,335;14,56355;56,873;20810;95,17741;99,4825286865234;0,802;14,40009022;11,36987019
Seychelles;SYC;0,1;23;13,1;2,3;71;79;234,4;1,059;;58,396;28580;92,02707;96,1999969482422;0,785;13,94161034;10,28312
Sierra Leone;SLE;8,8;39;5,1;3,8;59;62;120;3,787;43,6498;43,831;1760;;47,7000007629395;0,477;9,57339109;4,576081285
Singapore;SGP;6;12;23;1;82;86;8749,2;339,988;0,3370616;100;99420;99,66959;97,1318511962891;0,939;16,5243206;11,92488003
Sint Maarten (Dutch part);SXM;0;10;19,7;1,6;73;79;1299,3;858;;100;35230;;;#N/D;#N/D;#N/D
Slovakia;SVK;5,8;16;23,1;1,6;75;82;115,1;105,173;2,581196;53,909;33490;83,09318;;0,848;14,51303959;12,91141987
Slovenia;SVN;2,1;15;27,7;1,6;80;85;105,3;53,59;4,096176;55,751;43350;98,26288;;0,918;17,65492058;12,80368042
Solomon Islands;SLB;0,7;39;5,5;3,9;69;73;25,2;1,546;38,60118;25,584;2680;69,52108;;0,564;10,32869027;5,711848
Somalia;SOM;18,1;47;4,1;6,1;55;59;28,1;1,873;26,76543;47,324;1250;;;..;..;..
South Africa;ZAF;60,4;28;8,7;2,3;60;66;49,1;302,141;21,44945;68,335;14410;87,01258;95,0229721069336;0,713;13,64371014;11,37316036
South Sudan;SSD;11,1;43;4,8;4,3;55;58;19,3;15,903;62,64622;20,846;;;;0,385;5,54251;5,726140022
Spain;ESP;47,5;13;26,8;1,3;81;87;94,7;1281,485;3,985581;81,304;40880;97,27171;98,5944595336914;0,905;17,91690063;10,60540009
Sri Lanka;LKA;21,9;22;16,7;2;73;80;348,2;80,677;26,17664;19,026;14290;99,09921;92,3823013305664;0,782;14,13990486;10,82730007
Palestine, State of;PSE;5,4;38;5,5;3,4;72;77;872,1;15,561;6,661146;77,291;7470;95,26274;97,5144577026367;0,715;13,35801029;9,938480377
Sudan;SDN;48,1;41;5,5;4,3;64;69;26,6;62,057;41,19733;35,956;3920;60,00534;;0,508;7,945187858;3,82
Suriname;SUR;0,6;26;11,4;2,3;69;76;4;4,12;8,040625;66,307;14150;86,07316;95;0,73;13,03564357;9,77680063
Sweden;SWE;10,6;17;25,7;1,7;82;85;25,9;541,064;1,728915;88,492;62380;99,18177;;0,947;19,41852951;12,60972023
Switzerland;CHE;8,8;15;25,7;1,5;83;86;218,6;752,248;2,572916;74,092;74270;93,19583;;0,962;16,50029945;13,85966015
Syrian Arab Republic;SYR;23,2;30;7,2;2,7;69;76;120,4;15,572;12,86938;56,769;;;;0,577;9,164219856;5,1
Tajikistan;TJK;10,1;36;6,2;3,1;69;74;69,6;7,997;43,31242;27,968;5190;98,28703;;0,685;11,65303618;11,3333938
Thailand;THA;71,8;15;22;1,3;76;84;140,3;501,795;31,38948;52,889;18180;;94,0999984741211;0,8;15,88221913;8,697119713
Timor-Leste;TLS;1,4;34;7,3;3;68;71;90,2;1,902;42,37879;32,074;2900;93,70257;69,9000015258789;0,607;12,616098;5,43679
Togo;TGO;9,1;40;5,1;4,1;61;62;162,7;7,146;31,51827;43,921;2360;90,91577;;0,539;12,95049378;5,016807367
Tonga;TON;0,1;34;9;3,2;69;74;164,4;491;31,02164;23,125;7160;;99,4000015258789;0,745;16,04857063;11,392594
Trinidad and Tobago;TTO;1,5;19;17,2;1,6;71;78;298,4;21,393;3,055994;53,34;25330;;;0,81;14,53545292;11,61062419
Tunisia;TUN;12,5;25;13,7;2;74;80;79,5;39,218;14,28303;70,214;11170;;82,6999969482422;0,731;15,42538224;7,431598614
Türkiye;TUR;85,8;23;12,7;1,9;76;82;110,9;720,098;17,55452;77,022;30060;87,90006;96,7422103881836;0,838;18,3382206;8,63313961
Turkmenistan;TKM;6,5;31;8,8;2,6;66;73;13,7;42,845;22,87097;53,494;;;;0,745;13,21039963;11,26139
Turks and Caicos Islands;TCA;0;17;15,6;1,6;73;79;48,1;925;;94,047;21910;;;#N/D;#N/D;#N/D
